"city"	"name"
"http://dbpedia.org/resource/Fabara"	"Фабара"
"http://dbpedia.org/resource/Fabbrica_Curone"	"Фаббрика-Куроне"
"http://dbpedia.org/resource/Fabbriche_di_Vallico"	"Фаббрике-ди-Валлико"
"http://dbpedia.org/resource/Fabbrico"	"Фаббрико"
"http://dbpedia.org/resource/Fabriano"	"Фабриано"
"http://dbpedia.org/resource/Fabrizia"	"Фабриция"
"http://dbpedia.org/resource/Fabro"	"Фабро"
"http://dbpedia.org/resource/Favale_di_Malvaro"	"Фавале-ди-Мальваро"
"http://dbpedia.org/resource/Faver"	"Фавер"
"http://dbpedia.org/resource/Favria"	"Фаврия"
"http://dbpedia.org/resource/Fagagna"	"Фаганья"
"http://dbpedia.org/resource/Fago"	"Фаго"
"http://dbpedia.org/resource/Faggiano"	"Фаджано"
"http://dbpedia.org/resource/Faggeto_Lario"	"Фаджето-Ларио"
"http://dbpedia.org/resource/Fasano"	"Фазано"
"http://dbpedia.org/resource/Fai_della_Paganella"	"Фаи-делла-Паганелла"
"http://dbpedia.org/resource/Faicchio"	"Фаиккьо"
"http://dbpedia.org/resource/Faizabad"	"Файзабад (Индия)"
"http://dbpedia.org/resource/Faistenau"	"Файстенау"
"http://dbpedia.org/resource/Feistritz_am_Wechsel"	"Файстриц-ам-Вексель"
"http://dbpedia.org/resource/Feistritz_an_der_Gail"	"Файстриц-ан-дер-Гайль"
"http://dbpedia.org/resource/Feistritz_im_Rosental"	"Файстриц-им-Розенталь"
"http://dbpedia.org/resource/Feistritz_ob_Bleiburg"	"Файстриц-об-Блайбург"
"http://dbpedia.org/resource/Falerii"	"Фалерии"
"http://dbpedia.org/resource/Faleria"	"Фалерия"
"http://dbpedia.org/resource/Falerna"	"Фалерна"
"http://dbpedia.org/resource/Falerone"	"Фалероне"
"http://dbpedia.org/resource/Fallo"	"Фалло (коммуна)"
"http://dbpedia.org/resource/Faloppio"	"Фалоппио"
"http://dbpedia.org/resource/Fallbach,_Austria"	"Фальбах"
"http://dbpedia.org/resource/Falvaterra"	"Фальватерра"
"http://dbpedia.org/resource/Falcade"	"Фалькаде"
"http://dbpedia.org/resource/Falkenstein,_Lower_Austria"	"Фалькенштайн (Нижняя Австрия)"
"http://dbpedia.org/resource/Falconara_Albanese"	"Фальконара-Альбанесе"
"http://dbpedia.org/resource/Falcone,_Sicily"	"Фальконе (коммуна)"
"http://dbpedia.org/resource/Falmenta"	"Фальмента"
"http://dbpedia.org/resource/Falsterbo"	"Фальстербу"
"http://dbpedia.org/resource/Falciano_del_Massico"	"Фальчано-дель-Массико"
"http://dbpedia.org/resource/Famagusta"	"Фамагуста"
"http://dbpedia.org/resource/Famenin"	"Фаменин"
"http://dbpedia.org/resource/Fanano"	"Фанано"
"http://dbpedia.org/resource/Fanipol"	"Фаниполь"
"http://dbpedia.org/resource/Funkley,_Minnesota"	"Фанкли (город, Миннесота)"
"http://dbpedia.org/resource/Fanlo"	"Фанло"
"http://dbpedia.org/resource/Fanna"	"Фанна"
"http://dbpedia.org/resource/Fano_Adriano"	"Фано-Абриано"
"http://dbpedia.org/resource/Fangchenggang"	"Фанчэнган"
"http://dbpedia.org/resource/Fagnano_Alto"	"Фаньяно-Альто"
"http://dbpedia.org/resource/Fagnano_Castello"	"Фаньяно-Кастелло"
"http://dbpedia.org/resource/Fagnano_Olona"	"Фаньяно-Олона"
"http://dbpedia.org/resource/Fara_Vicentino"	"Фара-Вичентино"
"http://dbpedia.org/resource/Fara_Novarese"	"Фара-Новарезе"
"http://dbpedia.org/resource/Fara_San_Martino"	"Фара-Сан-Мартино"
"http://dbpedia.org/resource/Fara_Filiorum_Petri"	"Фара-Фильорум-Петри"
"http://dbpedia.org/resource/Fara_in_Sabina"	"Фара-ин-Сабина"
"http://dbpedia.org/resource/Farafangana"	"Фарафангана"
"http://dbpedia.org/resource/Fargo,_North_Dakota"	"Фарго (Северная Дакота)"
"http://dbpedia.org/resource/Fardella,_Basilicata"	"Фарделла"
"http://dbpedia.org/resource/Varel"	"Фарель"
"http://dbpedia.org/resource/Faridabad"	"Фаридабад"
"http://dbpedia.org/resource/Farigliano"	"Фарильяно"
"http://dbpedia.org/resource/Farindola"	"Фариндола"
"http://dbpedia.org/resource/Farini,_Emilia-Romagna"	"Фарини"
"http://dbpedia.org/resource/Farlete"	"Фарлете"
"http://dbpedia.org/resource/Farmington,_New_Mexico"	"Фармингтон"
"http://dbpedia.org/resource/Farmington,_Arkansas"	"Фармингтон (Арканзас)"
"http://dbpedia.org/resource/Farmington,_Minnesota"	"Фармингтон (город, Миннесота)"
"http://dbpedia.org/resource/Farnese,_Lazio"	"Фарнезе (Лацио)"
"http://dbpedia.org/resource/Farnham,_Quebec"	"Фарнем (Квебек)"
"http://dbpedia.org/resource/Farra_di_Soligo"	"Фарра-ди-Солиго"
"http://dbpedia.org/resource/Farra_d'Alpago"	"Фарра-д’Альпаго"
"http://dbpedia.org/resource/Farra_d'Isonzo"	"Фарра-д’Изонцо"
"http://dbpedia.org/resource/Farrokh_Shahr"	"Фаррохшехр"
"http://dbpedia.org/resource/Farsan"	"Фарсан"
"http://dbpedia.org/resource/Farsund"	"Фарсунн"
"http://dbpedia.org/resource/Faro,_Portugal"	"Фару"
"http://dbpedia.org/resource/Farum"	"Фарум"
"http://dbpedia.org/resource/Farwell,_Minnesota"	"Фаруэлл (город, Миннесота)"
"http://dbpedia.org/resource/Phasis_(town)"	"Фасис"
"http://dbpedia.org/resource/Fastiv"	"Фастов"
"http://dbpedia.org/resource/Fatezh"	"Фатеж"
"http://dbpedia.org/resource/Fatehabad,_Haryana"	"Фатехабад"
"http://dbpedia.org/resource/Fatehgarh"	"Фатехгарх"
"http://dbpedia.org/resource/Fatehpur_Sikri"	"Фатехпур-Сикри"
"http://dbpedia.org/resource/Fátima,_Portugal"	"Фатима (город)"
"http://dbpedia.org/resource/Fatsa"	"Фатса"
"http://dbpedia.org/resource/Faule"	"Фауле"
"http://dbpedia.org/resource/Fauglia"	"Фаулья"
"http://dbpedia.org/resource/Fountain,_Minnesota"	"Фаунтин (город, Миннесота)"
"http://dbpedia.org/resource/Fascia,_Liguria"	"Фаша (Италия)"
"http://dbpedia.org/resource/Faedis"	"Фаэдис"
"http://dbpedia.org/resource/Faedo"	"Фаэдо"
"http://dbpedia.org/resource/Faedo_Valtellino"	"Фаэдо-Вальтеллино"
"http://dbpedia.org/resource/Faenza"	"Фаэнца"
"http://dbpedia.org/resource/Faeto"	"Фаэто"
"http://dbpedia.org/resource/Federal_Dam,_Minnesota"	"Федерал-Дам (город, Миннесота)"
"http://dbpedia.org/resource/Fayetteville,_Arkansas"	"Фейетвилл (Арканзас)"
"http://dbpedia.org/resource/Fayetteville,_North_Carolina"	"Фейетвилл (Северная Каролина)"
"http://dbpedia.org/resource/Feisoglio"	"Фейзольо"
"http://dbpedia.org/resource/Faisalabad"	"Фейсалабад"
"http://dbpedia.org/resource/Fécamp"	"Фекан"
"http://dbpedia.org/resource/Feke"	"Феке"
"http://dbpedia.org/resource/Falavarjan"	"Фелаверджан"
"http://dbpedia.org/resource/Feletto"	"Фелетто"
"http://dbpedia.org/resource/Felixdorf"	"Феликсдорф"
"http://dbpedia.org/resource/Felino"	"Фелино"
"http://dbpedia.org/resource/Feliz"	"Фелис"
"http://dbpedia.org/resource/Felitto"	"Фелитто"
"http://dbpedia.org/resource/Felizzano"	"Фелиццано"
"http://dbpedia.org/resource/Felonica"	"Фелоника"
"http://dbpedia.org/resource/Felton,_Minnesota"	"Фелтон (город, Миннесота)"
"http://dbpedia.org/resource/Feld_am_See"	"Фельд-ам-Зе"
